label,dose1,dose2,total
16/01/2021,120,0,120
17/01/2021,120,0,120
18/01/2021,158,0,158
19/01/2021,165,0,165
20/01/2021,165,0,165
21/01/2021,281,0,281
22/01/2021,507,0,507
23/01/2021,790,0,790
24/01/2021,797,0,797
25/01/2021,1172,0,1172
26/01/2021,1174,0,1174
27/01/2021,1519,0,1519
28/01/2021,1821,0,1821
29/01/2021,1874,0,1874
30/01/2021,2206,0,2206
31/01/2021,2217,0,2217
01/02/2021,2390,0,2390
02/02/2021,2492,0,2492
03/02/2021,2808,0,2808
04/02/2021,3150,0,3150
05/02/2021,3511,0,3511
06/02/2021,3858,0,3858
07/02/2021,3858,0,3858
08/02/2021,4189,0,4189
09/02/2021,4571,0,4571
10/02/2021,5004,0,5004
11/02/2021,5480,0,5480
12/02/2021,6056,0,6056
13/02/2021,6709,117,6826
14/02/2021,6712,117,6829
15/02/2021,7214,118,7332
16/02/2021,7836,182,8018
17/02/2021,8364,197,8561
18/02/2021,8789,398,9187
19/02/2021,9554,511,10065
20/02/2021,10379,746,11125
21/02/2021,10379,746,11125
22/02/2021,11279,1012,12291
23/02/2021,12449,1145,13594
24/02/2021,13675,1214,14889
25/02/2021,15100,1479,16579
26/02/2021,16927,1640,18567
27/02/2021,16927,1640,18567
28/02/2021,16927,1640,18567
01/03/2021,16927,1640,18567
02/03/2021,19725,1942,21667
03/03/2021,21765,2135,23900
04/03/2021,23665,2484,26149
05/03/2021,25595,2802,28397
06/03/2021,27526,3153,30679
07/03/2021,27748,3154,30902
08/03/2021,29863,3613,33476
09/03/2021,28622,4116,32738
10/03/2021,30598,4607,35205
11/03/2021,31298,4694,35992
12/03/2021,33104,5156,38260
13/03/2021,34856,5666,40522
14/03/2021,34965,5736,40701
15/03/2021,36848,6373,43221
16/03/2021,42234,6945,49179
17/03/2021,50040,7409,57449
18/03/2021,51658,7862,59520
19/03/2021,53379,8263,61642
20/03/2021,54986,8659,63645
21/03/2021,55144,8664,63808
22/03/2021,56588,9158,65746
23/03/2021,57782,9610,67392
24/03/2021,58992,9967,68959
25/03/2021,60519,10308,70827
26/03/2021,61839,10719,72558
27/03/2021,63168,10983,74151
28/03/2021,63269,10988,74257
29/03/2021,63294,10990,74284
30/03/2021,64574,11435,76009
31/03/2021,65748,11963,77711
01/04/2021,68591,12464,81055
02/04/2021,71565,12813,84378
03/04/2021,74528,13309,87837
04/04/2021,77241,13602,90843
05/04/2021,80058,14182,94240
06/04/2021,81444,14567,96011
07/04/2021,85979,15553,101532
08/04/2021,89382,16433,105815
09/04/2021,92814,17335,110149
10/04/2021,96744,18264,115008
11/04/2021,99484,18671,118155
12/04/2021,103131,19810,122941
13/04/2021,106139,20711,126850
14/04/2021,108803,21577,130380
15/04/2021,111665,22898,134563
16/04/2021,114800,24346,139146
17/04/2021,117734,25520,143254
18/04/2021,119500,26100,145600
19/04/2021,122192,27795,149987
20/04/2021,124937,29647,154584
21/04/2021,127635,30930,158565
22/04/2021,130884,32988,163872
23/04/2021,134397,35042,169439
24/04/2021,137994,36727,174721
25/04/2021,140795,37860,178655
26/04/2021,144305,39947,184252
27/04/2021,148026,42015,190041
28/04/2021,151928,44127,196055
29/04/2021,155689,46218,201907
30/04/2021,160071,48418,208489
01/05/2021,163599,49617,213216
02/05/2021,165617,50277,215894
03/05/2021,168672,51790,220462
04/05/2021,172057,53485,225542
05/05/2021,175618,55204,230822
06/05/2021,179429,58044,237473
07/05/2021,183067,60383,243450
08/05/2021,187445,62996,250441
09/05/2021,190204,64408,254612
10/05/2021,193540,66769,260309
11/05/2021,196808,68719,265527
12/05/2021,199576,69777,269353
13/05/2021,202829,70937,273766
14/05/2021,206572,72127,278699
15/05/2021,211162,73672,284834
