reg_date,age18,age45,age60,total
05 Nov,582575,163476,90881,836932
06 Nov,666448,173262,101886,941596
07 Nov,672613,184820,110786,968219
08 Nov,1410933,357874,191189,1959996
09 Nov,1237236,300806,168834,1706876
10 Nov,1168360,286471,165935,1620766
11 Nov,1182613,286582,170896,1640091
12 Nov,1434038,350697,207130,1991865
13 Nov,1377950,332230,199757,1909937
14 Nov,869315,244227,145778,1259320
15 Nov,1567715,393426,234156,2195297
16 Nov,1736292,430305,266156,2432753
17 Nov,1681690,423043,258074,2362807
18 Nov,1933323,488480,303376,2725179
19 Nov,1474746,370293,226080,2071119
20 Nov,1746379,441777,269183,2457339
21 Nov,1125317,333313,195754,1654384
22 Nov,1964305,496640,301568,2762513
23 Nov,2017127,512985,318148,2848260
24 Nov,2108616,544718,339189,2992523
25 Nov,2211472,580826,363063,3155361
26 Nov,2041707,516262,325215,2883184
27 Nov,2177299,533106,334857,3045262
28 Nov,1435798,404136,246201,2086135
29 Nov,2051895,508178,320707,2880780
30 Nov,2165766,543642,336058,3045466
01 Dec,1872079,462958,281763,2616800
02 Dec,1829112,458835,276765,2564712
03 Dec,1872947,466395,284695,2624037
04 Dec,2447654,637209,369415,3454278
