title,partial_vaccinated,totally_vaccinated
Gurgaon,2272848,1634593
Faridabad,1732489,1047719
Karnal,1036313,574828
Ambala,892440,707958
Sonipat,1028869,539287
Hisar,1020430,440685
Panipat,888758,402584
Yamunanagar,847279,422055
Bhiwani,765940,484284
Sirsa,832343,393991
Rohtak,716135,395392
Jhajjar,708899,397265
Jind,741739,346578
Rewari,677055,397123
Palwal,666232,324031
Kaithal,648145,339156
Kurukshetra,628386,324525
Mahendragarh,599816,347402
Fatehabad,588550,255776
Panchkula,469040,337598
Nuh,604624,123849
Charkhi Dadri,371347,307255
