label,dose1,dose2,total
16/01/2021,1864,0,1864
17/01/2021,2069,0,2069
18/01/2021,5360,0,5360
19/01/2021,11728,0,11728
20/01/2021,12354,0,12354
21/01/2021,21411,0,21411
22/01/2021,33730,0,33730
23/01/2021,43350,0,43350
24/01/2021,44934,0,44934
25/01/2021,72277,0,72277
26/01/2021,72583,0,72583
27/01/2021,80541,0,80541
28/01/2021,87153,0,87153
29/01/2021,92685,0,92685
30/01/2021,95143,0,95143
31/01/2021,95245,0,95245
2021/01/02,96304,0,96304
2021/02/02,97213,0,97213
2021/03/02,99192,0,99192
2021/04/02,103334,0,103334
2021/05/02,107280,0,107280
2021/06/02,108966,0,108966
2021/07/02,110591,0,110591
2021/08/02,140415,0,140415
2021/09/02,157055,0,157055
2021/10/02,164151,0,164151
2021/11/02,171926,0,171926
2021/12/02,176310,0,176310
13/02/2021,178067,590,178657
14/02/2021,178074,590,178664
15/02/2021,185578,2904,188482
16/02/2021,186539,3658,190197
17/02/2021,189505,6058,195563
18/02/2021,193238,12794,206032
19/02/2021,201383,16787,218170
20/02/2021,204604,19253,223857
21/02/2021,204756,19469,224225
22/02/2021,209690,35101,244791
23/02/2021,212356,45400,257756
24/02/2021,213246,47090,260336
25/02/2021,217574,58366,275940
26/02/2021,218507,61666,280173
27/02/2021,218509,61666,280175
28/02/2021,218515,61666,280181
2021/01/03,218515,61666,280181
2021/02/03,225787,64929,290716
2021/03/03,229802,66100,295902
2021/04/03,241858,69706,311564
2021/05/03,254547,72651,327198
2021/06/03,262058,74423,336481
2021/07/03,263037,74488,337525
2021/08/03,285193,79897,365090
2021/09/03,230790,88291,319081
2021/10/03,239333,91761,331094
2021/11/03,246074,93819,339893
2021/12/03,275854,100547,376401
13/03/2021,289284,102853,392137
14/03/2021,292773,103194,395967
15/03/2021,403081,112502,515583
16/03/2021,561120,117776,678896
17/03/2021,627943,120409,748352
18/03/2021,694688,124104,818792
19/03/2021,755578,127519,883097
20/03/2021,779704,129006,908710
21/03/2021,785932,129176,915108
22/03/2021,930026,134187,1064213
23/03/2021,1016305,136448,1152753
24/03/2021,1035137,137746,1172883
25/03/2021,1087408,140452,1227860
26/03/2021,1136611,142647,1279258
27/03/2021,1158970,143529,1302499
28/03/2021,1162379,143587,1305966
29/03/2021,1162932,143598,1306530
30/03/2021,1278501,147229,1425730
31/03/2021,1366981,149874,1516855
2021/01/04,1441284,153298,1594582
2021/02/04,1545216,157374,1702590
2021/03/04,1594393,159560,1753953
2021/04/04,1639535,161076,1800611
2021/05/04,1717234,164930,1882164
2021/06/04,1774869,167327,1942196
2021/07/04,1855846,172325,2028171
2021/08/04,1939723,178687,2118410
2021/09/04,2024825,187427,2212252
2021/10/04,2088650,194612,2283262
2021/11/04,2181488,200626,2382114
2021/12/04,2307539,218295,2525834
13/04/2021,2421185,236085,2657270
14/04/2021,2544240,260744,2804984
15/04/2021,2596134,277420,2873554
16/04/2021,2657655,299456,2957111
17/04/2021,2706244,316382,3022626
18/04/2021,2740333,325532,3065865
19/04/2021,2804924,357285,3162209
20/04/2021,2858633,382699,3241332
21/04/2021,2890194,397220,3287414
22/04/2021,2928139,415867,3344006
23/04/2021,2983811,445927,3429738
24/04/2021,3032220,470541,3502761
25/04/2021,3059704,480171,3539875
26/04/2021,3096107,498962,3595069
27/04/2021,3122680,512225,3634905
28/04/2021,3147907,527930,3675837
29/04/2021,3177552,545892,3723444
30/04/2021,3199035,559342,3758377
2021/01/05,3211614,565133,3776747
2021/02/05,3230331,566625,3796956
2021/03/05,3279593,575470,3855063
2021/04/05,3335067,591232,3926299
2021/05/05,3374963,612135,3987098
2021/06/05,3447474,646732,4094206
2021/07/05,3518724,686199,4204923
2021/08/05,3573590,714537,4288127
2021/09/05,3612642,732116,4344758
2021/10/05,3692472,783433,4475905
2021/11/05,3764214,826086,4590300
2021/12/05,3817367,845830,4663197
13/05/2021,3886385,879262,4765647
14/05/2021,3931468,902229,4833697
15/05/2021,3977395,916353,4893748
