title,partial_vaccinated,totally_vaccinated
Uttar Pradesh,114356431,53027777
Maharashtra,75827569,42477360
West Bengal,63674971,30876013
Madhya Pradesh,51359026,38629657
Bihar,55198549,30161096
Gujarat,45998761,36763624
Karnataka,45591179,31471913
Tamil Nadu,46398427,26674159
Rajasthan,43975554,26909335
Andhra Pradesh,35704361,25507135
Odisha,28068783,16415910
Kerala,25778378,18058806
Telangana,25475526,13385838
Assam,21449746,12643415
Haryana,18729260,10517015
Chhattisgarh,16732944,9945168
Jharkhand,16828059,8270208
Punjab,16650470,7895753
Delhi,14070943,9170256
Jammu and Kashmir,9617014,7274670
Uttarakhand,7619416,5324337
Himachal Pradesh,5837963,5389754
Tripura,2557812,2048731
Goa,1286728,1045156
Manipur,1290306,902469
Meghalaya,1173277,824142
Chandigarh,946352,649449
Arunachal Pradesh,796982,618069
Mizoram,736910,564502
Nagaland,742212,553095
Puducherry,781740,491495
Sikkim,523497,472113
Dadra and Nagar Haveli,396333,230798
Andaman and Nicobar Islands,297312,263974
Daman and Diu,280402,217029
Ladakh,212359,172436
Lakshadweep,55469,49992
