label,dose1,dose2,total
16 Jan-22 Jan,1243013,0,1243013
23 Jan-29 Jan,2053181,0,2053181
30 Jan-05 Feb,1959386,0,1959386
06 Feb-12 Feb,2656057,0,2656057
13 Feb-19 Feb,1635606,718186,2353792
20 Feb-26 Feb,1612831,1701102,3313933
27 Feb-05 Mar,3102888,1038758,4141646
06 Mar-12 Mar,6939297,1704080,8643377
13 Mar-19 Mar,11499687,1944114,13443801
20 Mar-26 Mar,14065700,1169412,15235112
27 Mar-02 Apr,12686954,925007,13611961
03 Apr-09 Apr,22610262,2136613,24746875
10 Apr-16 Apr,17718027,3075336,20793363
17 Apr-23 Apr,11217226,5818200,17035426
24 Apr-30 Apr,9026096,6455419,15481515
01 May-07 May,5878417,6284103,12162520
08 May-14 May,6145801,6686790,12832591
15 May-21 May,7596547,1614260,9210807
22 May-28 May,13505852,1175374,14681226
29 May-04 Jun,16217166,1749880,17967046
05 Jun-11 Jun,19177847,2000327,21178174
12 Jun-18 Jun,19489495,2562678,22052173
19 Jun-25 Jun,36441378,4761596,41202974
26 Jun-02 Jul,22983015,6648873,29631888
03 Jul-09 Jul,17664968,9481889,27146857
10 Jul-16 Jul,15585059,9567785,25152844
17 Jul-23 Jul,18196275,10025852,28222127
24 Jul-30 Jul,23120012,10655439,33775451
31 Jul-06 Aug,25670685,8345995,34016680
07 Aug-13 Aug,26486041,8384033,34870074
14 Aug-20 Aug,30319817,9491343,39811160
21 Aug-27 Aug,33895533,13308475,47204008
28 Aug-03 Sep,38717599,15161373,53878972
04 Sep-10 Sep,36690599,16707014,53397613
11 Sep-17 Sep,40851318,26040013,66891331
18 Sep-24 Sep,30899960,22411879,53311839
25 Sep-01 Oct,27105994,21362311,48468305
02 Oct-08 Oct,22402353,19848370,42250723
09 Oct-15 Oct,15870336,16023137,31893473
16 Oct-22 Oct,15912892,21249120,37162012
23 Oct-29 Oct,16381904,24562573,40944477
30 Oct-05 Nov,9445131,14891215,24336346
06 Nov-12 Nov,9989236,24954752,34943988
13 Nov-19 Nov,13460683,30037467,43498150
20 Nov-26 Nov,16807984,35716210,52524194
27 Nov-03 Dec,16647224,37316152,53963376
04 Dec-10 Dec,2895466,7498226,10393692
