title,partial_vaccinated,totally_vaccinated
Ludhiana,2559633,1128723
Jalandhar,1477278,850965
Amritsar,1383570,629002
Hoshiarpur,1028802,676235
Patiala,1080178,472926
Gurdaspur,939117,574381
SAS Nagar,893995,464772
Sangrur,772142,282136
Bathinda,652292,254280
Tarn Taran,626717,236005
Moga,563299,242146
Kapurthala,487320,253726
Fazilka,528796,192831
Pathankot,434810,252870
Ferozpur,496960,169807
Sri Muktsar Sahib,483249,169753
SBS Nagar,400372,226718
Rup Nagar,394989,224239
Fatehgarh Sahib,362980,161235
Mansa,389816,130549
Faridkot,342830,164203
Barnala,353020,143663
