label,age18,age45,age60,total
21 Nov-27 Nov,8,6,4,18
28 Nov-04 Dec,110535,48351,3712,162598
05 Dec-11 Dec,1078395,432801,34451,1545647
12 Dec-18 Dec,895862,330327,37281,1263470
19 Dec-25 Dec,196186,71955,9945,278086
26 Dec-01 Jan,197132,106161,14400,317693
02 Jan-08 Jan,368915,172890,10903,552708
09 Jan-15 Jan,1153439,488540,20007,1661986
16 Jan-22 Jan,564056,249389,17580,831025
23 Jan-29 Jan,823267,309592,40385,1173244
30 Jan-05 Feb,761567,312900,32651,1107118
06 Feb-12 Feb,1015095,440917,37286,1493298
13 Feb-19 Feb,894177,447516,23441,1365134
20 Feb-26 Feb,760199,396231,18904,1175334
27 Feb-05 Mar,531923,903374,3840027,5275324
06 Mar-12 Mar,807153,1582519,5508250,7897922
13 Mar-19 Mar,945341,2763146,8525161,12233648
20 Mar-26 Mar,989957,3988465,9767140,14745562
27 Mar-02 Apr,950337,6562463,6049000,13561800
03 Apr-09 Apr,369237,15376105,7892350,23637692
10 Apr-16 Apr,492585,11873769,6351526,18717880
17 Apr-23 Apr,678105,8157608,4493956,13329669
24 Apr-30 Apr,19536310,7909396,3984461,31430167
01 May-07 May,13740320,4477775,2148306,20366401
08 May-14 May,12145344,3904103,1925438,17974885
15 May-21 May,10261860,3245913,1318053,14825826
22 May-28 May,10711650,4851089,1979539,17542278
29 May-04 Jun,11067007,5615466,2279310,18961783
05 Jun-11 Jun,12695060,5334663,2209948,20239671
12 Jun-18 Jun,13198873,4627678,1990833,19817384
19 Jun-25 Jun,27013117,7075286,3052787,37141190
26 Jun-02 Jul,18179275,4644812,1924746,24748833
03 Jul-09 Jul,13899826,3767635,1722344,19389805
10 Jul-16 Jul,11883734,3355061,1469482,16708277
17 Jul-23 Jul,13918679,3714286,1636628,19269593
24 Jul-30 Jul,16946712,4782768,2057957,23787437
31 Jul-06 Aug,19987322,5552300,2448541,27988163
07 Aug-13 Aug,19117452,5212124,2486372,26815948
14 Aug-20 Aug,21588481,5953876,2648269,30190626
21 Aug-27 Aug,24150136,6426358,2961145,33537639
28 Aug-03 Sep,28244976,7401357,3545723,39192056
04 Sep-10 Sep,25718973,7028258,3579517,36326748
11 Sep-17 Sep,27724006,7528506,4060148,39312660
18 Sep-24 Sep,22556907,6118168,3198674,31873749
25 Sep-01 Oct,19415515,5149976,2797186,27362677
02 Oct-08 Oct,16207778,4164185,2242148,22614111
09 Oct-15 Oct,11696974,3123212,1769232,16589418
16 Oct-22 Oct,11731782,3149990,1668726,16550498
23 Oct-29 Oct,12317500,3295198,1881927,17494625
30 Oct-05 Nov,7213389,2010093,1184748,10408230
06 Nov-12 Nov,7772241,1940512,1116656,10829409
13 Nov-19 Nov,10641031,2682004,1633377,14956412
20 Nov-26 Nov,13214923,3426521,2112120,18753564
27 Nov-03 Dec,13404896,3377250,2081046,18863192
04 Dec-10 Dec,2447654,637209,369415,3454278
